longitude,latitude,fakulte,ndbi_nearest,ndbi_bilinear
27.204505015616864,38.367626378891956,Guzel Sanatlar,0.28126836,0.3207547
27.20461948738252,38.36762617917065,Guzel Sanatlar,0.3124812,0.35056818
27.204733959147045,38.36762597933758,Guzel Sanatlar,0.19728261,0.21851853
27.204848430910438,38.36762577939275,Guzel Sanatlar,0.28379953,0.28421664
27.20496290267269,38.36762557933616,Guzel Sanatlar,0.467279,0.4985591
27.205077374433813,38.36762537916781,Guzel Sanatlar,0.21791613,0.26835066
27.205191846193802,38.3676251788877,Guzel Sanatlar,0.06122449,0.061434977
27.205306317952648,38.36762497849582,Guzel Sanatlar,0.005738576,0.051692683
27.205420789710356,38.367624777992184,Guzel Sanatlar,0.1052531,0.09171999
27.20553526146693,38.36762457737679,Guzel Sanatlar,0.065169364,0.072002925
27.205649733222366,38.36762437664963,Guzel Sanatlar,0.035014007,0.033491146
27.205764204976663,38.367624175810704,Guzel Sanatlar,0.04674221,0.054775283
27.205878676729817,38.367623974860024,Guzel Sanatlar,0.06848864,0.04635092
27.20599314848183,38.36762377379758,Guzel Sanatlar,0.041900788,0.025155177
27.206107620232704,38.36762357262338,Guzel Sanatlar,0.028707376,0.006811547
27.206222091982436,38.36762337133741,Guzel Sanatlar,0.08497825,0.034421887
27.20404738158585,38.36771729942967,Guzel Sanatlar,-0.05107571,-0.020082882
27.204161853497993,38.36771710015478,Guzel Sanatlar,0.08588611,0.066769
27.204276325409005,38.36771690076811,Guzel Sanatlar,0.25648236,0.33667782
27.204390797318887,38.367716701269686,Guzel Sanatlar,0.29407978,0.3444876
27.204505269227635,38.3677165016595,Guzel Sanatlar,0.14300682,0.17561099
27.20461974113525,38.36771630193755,Guzel Sanatlar,-0.042352423,0.0012615643
27.204734213041732,38.36771610210384,Guzel Sanatlar,-0.1389486,-0.097758524
27.204848684947077,38.36771590215837,Guzel Sanatlar,-0.14876352,-0.12570995
27.204963156851292,38.36771570210114,Guzel Sanatlar,0.09793814,0.1481882
27.20507762875437,38.36771550193214,Guzel Sanatlar,0.35572842,0.3958886
