degisken,karsilastirma,z,p_ham,p_bh
glcm_homogeneity,Denizcilik - Isletme,-2.3192156992368473,0.020383343646980277,0.021138282300572138
glcm_homogeneity,Fen Edebiyat - Isletme,6.711547977941979,1.9257045389753355e-11,2.9955403939616334e-11
glcm_homogeneity,Guzel Sanatlar - Isletme,15.694360629244985,1.652997089173148e-55,7.713986416141358e-55
glcm_homogeneity,Hukuk - Isletme,14.350775091583762,1.053531668283617e-46,3.2776540791045862e-46
glcm_homogeneity,Denizcilik - Mimarlik,-3.3419009723808157,8.320674035569693e-4,9.707453041497976e-4
glcm_homogeneity,Fen Edebiyat - Mimarlik,5.895776957076045,3.729224307779007e-9,5.220914030890609e-9
glcm_homogeneity,Guzel Sanatlar - Mimarlik,15.60514465241955,6.715734476858485e-55,2.686293790743394e-54
glcm_homogeneity,Hukuk - Mimarlik,14.243291370355678,4.934702876125371e-46,1.3817168053151037e-45
glcm_homogeneity,Isletme - Mimarlik,-1.23857157323021,0.2155042008811398,0.2155042008811398
glcm_homogeneity,Denizcilik - Muhendislik,-6.551804350270947,5.6845989118220525e-11,8.377303659527235e-11
glcm_homogeneity,Fen Edebiyat - Muhendislik,2.4318241632153477,0.015022998503747824,0.016178613773266886
glcm_homogeneity,Guzel Sanatlar - Muhendislik,14.625978120583504,1.9179455718534274e-48,6.712809501486997e-48
glcm_homogeneity,Hukuk - Muhendislik,13.205439842531328,8.162155500711648e-40,1.9045029501660515e-39
glcm_homogeneity,Isletme - Muhendislik,-5.660168586801914,1.5122436236507373e-8,2.0163248315343163e-8
glcm_homogeneity,Mimarlik - Muhendislik,-4.68547054507307,2.793174682477751e-6,3.554949595880774e-6
glcm_homogeneity,Denizcilik - Turizm,-18.00662157056621,1.7286225379625525e-72,1.2100357765737867e-71
glcm_homogeneity,Fen Edebiyat - Turizm,-17.496840623786383,1.5143987632883555e-68,8.48063307441479e-68
glcm_homogeneity,Guzel Sanatlar - Turizm,-4.043501198687359,5.265888688538349e-5,6.410647099090165e-5
glcm_homogeneity,Hukuk - Turizm,-8.080243456847063,6.463759976501478e-16,1.1311579958877588e-15
glcm_homogeneity,Isletme - Turizm,-21.931115551121586,1.3117196665614264e-106,1.2242716887906647e-105
glcm_homogeneity,Mimarlik - Turizm,-22.7851701179882,6.433243302018783e-115,9.006540622826296e-114
glcm_homogeneity,Muhendislik - Turizm,-25.671326447377357,2.4440585145784688e-145,6.843363840819713e-144
